"authors","frequent_part_title","infrequent_part_title","title","uri","venue","year"
"edward y. chang , hector garcia-molina","","use media memory server effective","effective memory use in a media server","dblp_a_410","vldb","1997"
"gale martin , ray shea , tomasz ksiezyk , roberto j. bayardo jr. , marian h. nodine , william bohrer , vipul kashyap , c. unnikrishnan , richard s. brice , mosfeq rashid , amy unruh , abdelsalam helal , andrzej cichocki , marek rusinkiewicz , darrell woelk , jerry fowler","information","integration environments infosleuth open experience paper semantic dynamic","infosleuth : semantic integration of information in open and dynamic environments ( experience paper )","dblp_a_411","sigmod conference","1997"
"shore team","systems","features file best shore combining oodbms","shore : combining the best features of oodbms and file systems","dblp_a_412","sigmod conference","1995"
"miron livny , yannis e. ioannidis , nagavamsi ponnekanti , shivani gupta","management","desktop zoo environment experiment","zoo : a desktop experiment management environment","dblp_a_413","vldb","1996"
"bharat k. bhargava , evaggelia pitoura","databases based","consistent framework providing heterogeneous recoverable agent mobile access","a framework for providing consistent and recoverable agent-based access to heterogeneous in mobile databases","dblp_a_414","sigmod record","1995"
"peter j. haas , lynne stokes , s. seshadri , jeffrey f. naughton","based","estimation distinct sampling number values attribute","sampling-based estimation of the number of distinct values of an attribute","dblp_a_415","vldb","1995"
"michael j. franklin","","editor notes","editor 's notes","dblp_a_416","sigmod record","1998"
"wes cowley , dimitris plexousakis","","temporal constraints indeterminacy integrity","temporal integrity constraints with indeterminacy","dblp_a_417","vldb","2000"
"alin deutsch , jürgen zimmermann , m. higa , alejandro p. buchmann","","reach active oodbms","the reach active oodbms","dblp_a_418","sigmod conference","1995"
"d. butler , boris klots , roger bamford , n. macnaughton","","parallel oracle server architecture","architecture of oracle parallel server","dblp_a_419","vldb","1998"
"narendra mohan","system management data","dwms warehouse","dwms : data warehouse management system","dblp_a_420","vldb","1996"
"fernando berzal galiano , nicolás marín","data","dan peter review suciu morgan relational xml kaufmann web semistructured serge buneman abiteboul","review of data on the web : from relational to semistructured data and xml by serge abiteboul , peter buneman , and dan suciu . morgan kaufmann 1999","dblp_a_421","sigmod record","2003"
"luis gravano , panagiotis g. ipeirotis","database","selection hierarchical search distributed web hidden sampling","distributed search over the hidden web : hierarchical database sampling and selection","dblp_a_422","vldb","2002"
"edward chan , tei-wei kuo , s. w. ng , dick hung , kam-yiu lam","system","navigation time retina real traffic","retina : a real-time traffic navigation system","dblp_a_423","sigmod conference","2001"
"rajeev motwani , sergey brin , craig silverstein","","correlations baskets association beyond rules market generalizing","beyond market baskets : generalizing association rules to correlations","dblp_a_424","sigmod conference","1997"
"ugo capuozzo , elena ferrari , vijayalakshmi atluri , elisa bertino , nabil r. adam","system","libraries digital authorization","an authorization system for digital libraries","dblp_a_425","vldb j.","2002"
"goetz graefe , diane l. davison","","contention joins memory hash responsive","memory-contention responsive hash joins","dblp_a_426","vldb","1994"
"ya-hui chang","information systems","graphical language mobile query","a graphical query language for mobile information systems","dblp_a_427","sigmod record","2003"
"elisa bertino , elena ferrari , silvana castano","","x securing xml documents author demonstration project","securing xml documents : the author-x project demonstration","dblp_a_428","sigmod conference","2001"
"gio wiederhold , erhard rahm , matthias jarke , laura m. haas , philip a. bernstein","management","generic feasible panel metadata","panel : is generic metadata management feasible ?","dblp_a_429","vldb","2000"
"georgios evangelidis , betty salzberg , david b. lomet","","recovery consolidation modified hb concurrency hbp supporting node tree","the hbp-tree : a modified hb-tree supporting concurrency , recovery and node consolidation","dblp_a_430","vldb","1995"
"prabhakar raghavan , byron dom , rakesh agrawal , soumen chakrabarti","databases","generation selection hierarchical topic classification feature scalable large signature organizing text taxonomies","scalable feature selection , classification and signature generation for organizing large text databases into hierarchical topic taxonomies","dblp_a_431","vldb j.","1998"
"david j. dewitt , navin kabra","","mid optimal query execution efficient plans optimization sub","efficient mid-query re-optimization of sub-optimal query execution plans","dblp_a_432","sigmod conference","1998"
"a. prasad sistla , isabel f. cruz , ashfaq a. khokhar , clement t. yu , bing liu , ouri wolfson","management information database","illinois chicago activities retrieval research university","research activities in database management and information retrieval at the university of illinois at chicago","dblp_a_433","sigmod record","2002"
"wei wang , philip s. yu , jiong yang , jiawei han","","environment mining long sequential patterns noisy","mining long sequential patterns in a noisy environment","dblp_a_434","sigmod conference","2002"
"laks v. s. lakshmanan , h. v. jagadish , divesh srivastava","data","hierarchies warehouses","what can hierarchies do for data warehouses ?","dblp_a_435","vldb","1999"
"s. seshadri , rajeev rastogi , abraham silberschatz , philip bohannon , dennis w. leinbaugh , s. sudarshan","databases","memory physical versioning logical main","logical and physical versioning in main memory databases","dblp_a_436","vldb","1997"
"david b. lomet , gerhard weikum","information systems","application transparent recovery efficient server client","efficient and transparent application recovery in client-server information systems","dblp_a_437","sigmod conference","1998"
"luis gravano , surajit chaudhuri","","repositories multimedia queries optimizing","optimizing queries over multimedia repositories","dblp_a_438","sigmod conference","1996"
"h. olivie , r. maelbrancke","","implementation jannink jan tree b deletion optimizing","optimizing jan jannink 's implementation of b + - tree deletion","dblp_a_439","sigmod record","1995"
"kevin smith , athman bouguettaya , mourad ouzzani , james beard , lily hendra , boualem benatallah","databases database","integrating corba wide world web","world wide database - integrating the web , corba , and databases","dblp_a_440","sigmod conference","1999"
"hua-gang li , sin yeung lee , tok wang ling","","hierarchical queries range compact cube max","hierarchical compact cube for range-max queries","dblp_a_441","vldb","2000"
"narayanan shivakumar , junghoo cho , hector garcia-molina","","replicated collections finding web","finding replicated web collections","dblp_a_442","sigmod conference","2000"
"jennifer widom , sudarshan s. chawathe , hector garcia-molina , anand rajaraman","information","hierarchically structured change detection","change detection in hierarchically structured information","dblp_a_443","sigmod conference","1996"
"kirby zhang , isabel f. cruz , michael averbuch , wendy t. lucas , melissa radzyminski","system database","visualization delaunay","delaunay : a database visualization system","dblp_a_444","sigmod conference","1997"
"alexei p. stolboushkin , michael a. taitslin","","order stratified datalog integer safe syntax","safe stratified datalog with integer order does not have syntax","dblp_a_445","acm trans . database syst .","1998"
"nam huyn","data","life mining sciences analysis","data analysis and mining in the life sciences","dblp_a_446","sigmod record","2001"
"omar boucelma , zoé lacroix","information based systems","first efficient report web international workshop","report on the first international workshop an efficient web-based information systems","dblp_a_448","sigmod record","2003"
"peter baumann","management data","multidimensional discrete","management of multidimensional discrete data","dblp_a_449","vldb j.","1994"
"jan van den bussche","databases","introduction tutorial constraint","constraint databases : a tutorial introduction","dblp_a_450","sigmod record","2000"
"","","calls announcements papers","calls for papers / announcements","dblp_a_451","sigmod record","1994"
"karl aberer","databases","first applications semantics report conference ontologies international","report on the first international conference on ontologies , databases and applications of semantics","dblp_a_452","sigmod record","2003"
"jeffrey f. naughton","","chair sigmod message program","sigmod ' 2000 program chair 's message","dblp_a_453","sigmod record","2000"
"","management data","proceedings sigmod june acm diego conference san international usa california","proceedings of the 2003 acm sigmod international conference on management of data , san diego , california , usa , june 9-12 , 2003","dblp_a_454","sigmod conference","2003"
"shashi k. gadia , christian s. jensen , patrick j. hayes , ramez elmasri , sushil jajodia , james clifford","database","consensus glossary temporal concepts","a consensus glossary of temporal database concepts","dblp_a_455","sigmod record","1994"
"ning jing , yun-wu huang , elke a. rundensteiner","using","spatial first r traversal optimizations trees global joins breadth","spatial joins using r-trees : breadth-first traversal with global optimizations","dblp_a_456","vldb","1997"
"motomichi toyama","database","extended sql presentation supersql publishing","supersql : an extended sql for database publishing and presentation","dblp_a_457","sigmod conference","1998"
"george v. moustakides , vassilios s. verykios , mohamed g. elfeky","","cost optimal record matching bayesian decision model","a bayesian decision model for cost optimal record matching","dblp_a_458","vldb j.","2003"
"brajesh goyal , s. seshadri , v. srinivasan , jayant r. haritsa","systems database","control concurrency index firm time real","index concurrency control in firm real-time database systems","dblp_a_459","vldb","1995"
"richard t. snodgrass , christian s. jensen , michael h. böhlen","","temporal modifiers statement","temporal statement modifiers","dblp_a_460","acm trans . database syst .","2000"
"eric n. hanson","","treasurer statement","statement from the treasurer","dblp_a_461","sigmod record","1999"
"per-åke larson , jonathan goldstein","using","practical queries scalable materialized solution views optimizing","optimizing queries using materialized views : a practical , scalable solution","dblp_a_462","sigmod conference","2001"
"yannis papakonstantinou , richard marciano , chaitanya k. baru , pavel velikhov , vincent chu , amarnath gupta , bertram ludäscher","information based","mix xml mediation","xml-based information mediation with mix","dblp_a_463","sigmod conference","1999"
"eamonn j. keogh","","indexing time exact warping dynamic","exact indexing of dynamic time warping","dblp_a_464","vldb","2002"
"k. bernhard schiefer , karen brannon , guy m. lohman , gene fuh , jim kleewein","database","universal vldb ibm demonstrations","ibm 's db2 universal database demonstrations at vldb '98","dblp_a_465","vldb","1998"
"christian böhm","data","cost high query processing spaces model dimensional","a cost model for query processing in high dimensional data spaces","dblp_a_466","acm trans . database syst .","2000"
"gonzalo navarro","","spatial approximation searching spaces metric","searching in metric spaces by spatial approximation","dblp_a_467","vldb j.","2002"
"brian babcock , shivnath babu , rajeev motwani , mayur datar","data systems","scheduling memory minimization chain stream operator","chain : operator scheduling for memory minimization in data stream systems","dblp_a_468","sigmod conference","2003"
"amit p. sheth , vipul kashyap , satish thatte , leon a. shklar","system information","search retrieval infoharness heterogeneous","infoharness : a system for search and retrieval of heterogeneous information","dblp_a_469","sigmod conference","1995"
"henry f. korth , jerry baulier , abraham silberschatz , stephen blott","system database","time aggregation telecommunication real event","a database system for real-time event aggregation in telecommunication","dblp_a_470","vldb","1998"
"alon y. halevy","","editorial guest","guest editorial","dblp_a_471","vldb j.","2002"
"hector garcia-molina , patricia g. selinger , tomasz imielinski , david maier , jeffrey d. ullman , richard t. snodgrass","","influential papers reminiscences","reminiscences on influential papers","dblp_a_472","sigmod record","1998"
"matthias jarke , dirk lehmann , gunter michalk , guido blees , stefan striel , christoph quix","using data","oltp quality mechanisms warehouse improving","improving oltp data quality using data warehouse mechanisms","dblp_a_473","sigmod conference","1999"
"uwe röhm , klemens böhm , hans-jörg schek , heiko schuldt","","cluster olap fas sensitive components coordination freshness middleware","fas - a freshness-sensitive coordination middleware for a cluster of olap components","dblp_a_474","vldb","2002"
"carole a. goble , omar boucelma , silvana castano , vanja josifovski , zoé lacroix , bertram ludäscher","data","scientific edbt report panel integration","report on the edbt '02 panel on scientific data integration","dblp_a_475","sigmod record","2002"
"z. meral özsoyoglu , gultekin özsoyoglu , abdullah al-hamdani , özgür ulusoy , selma ayse özel , ismail sengör altingövde","databases","value sideway relational algebra object","sideway value algebra for object-relational databases","dblp_a_476","vldb","2002"
"isabel f. cruz","","sigmod digital symposium disc editor collection message","sigmod digital symposium collection ( disc ) editor 's message","dblp_a_477","sigmod record","2000"
"martin pfeifle , hans-peter kriegel , stefan brecheisen , peer kröger , matthias schubert","using","voxelized sets cad feature search objects similarity vectors","using sets of feature vectors for similarity search on voxelized cad objects","dblp_a_478","sigmod conference","2003"
"yannis e. ioannidis , marvin h. solomon , odysseas g. tsatalos","data","independence gmap physical versatile tool","the gmap : a versatile tool for physical data independence","dblp_a_479","vldb j.","1996"
"antara ghosh , vibhuti s. sengar , jayant r. haritsa , jignashu parikh","based","clustering plan selection query","plan selection based on query clustering","dblp_a_480","vldb","2002"
"david buttler , wei han , calton pu","data","xml web wrapping","wrapping web data into xml","dblp_a_481","sigmod record","2001"
"paul w. p. j. grefen , peter m. g. apers , jochem vonk","management systems","practical specification formal implementation workflow transaction support global","global transaction support for workflow management systems : from formal specification to practical implementation","dblp_a_482","vldb j.","2001"
"jack a. orenstein","database","starting sometimes company ending","starting ( and sometimes ending ) a database company","dblp_a_483","vldb","1998"
"jörg sander , hans-peter kriegel , markus m. breunig , mihael ankerst","","structure identify ordering clustering optics points","optics : ordering points to identify the clustering structure","dblp_a_484","sigmod conference","1999"
"stefano paraboschi , stefano ceri , fabio casati , giuseppe pozzi","management systems","specification implementation exceptions workflow","specification and implementation of exceptions in workflow management systems","dblp_a_485","acm trans . database syst .","1999"
"andrew eisenberg","","procedures standard stored new sql","new standard for stored procedures in sql","dblp_a_486","sigmod record","1996"
"khaled yagoub , dan suciu , alon y. levy , daniela florescu","management data","sites run web time optimization intensive","optimization of run-time management of data intensive web-sites","dblp_a_487","vldb","1999"
"ioana manolescu , serge abiteboul , tova milo , angela bonifati , gregory cobena","","documents distribution xml replication dynamic","dynamic xml documents with distribution and replication","dblp_a_488","sigmod conference","2003"
"thin-fong tsuei , allan packer , keng-tai ko","database","buffer size workloads investigation oltp experience paper","database buffer size investigation for oltp workloads ( experience paper )","dblp_a_489","sigmod conference","1997"
"patrick valduriez , serge abiteboul , sophie cluet , kenneth a. ross , raghu ramakrishnan , guy m. lohman , david b. lomet , richard t. snodgrass , gultekin özsoyoglu , michael j. franklin , timos k. sellis","","influential papers reminiscences","reminiscences on influential papers","dblp_a_490","sigmod record","1999"
"sridhar rajagopalan , bruce g. lindsay , gurmeet singh manku","","order statistics efficient random space large datasets online techniques computation sampling","random sampling techniques for space efficient online computation of order statistics of large datasets","dblp_a_491","sigmod conference","1999"
"m. tamer özsu","","partnership update new journal acm","new partnership with acm and update on the journal","dblp_a_492","vldb j.","2003"
"stéphane bressan , kian-lee tan , beng chin ooi , chong leng goh","","extensible storm replacement approach policies integrating","integrating replacement policies in storm : an extensible approach","dblp_a_493","sigmod conference","2000"
"kestutis ivinskis","","applications high commercial availability","high availability of commercial applications","dblp_a_494","sigmod conference","1995"
"d. janaki ram , r. ramakrishnan","","design versions modeling","modeling design versions","dblp_a_495","vldb","1996"
"daniel a. keim , stefan berchtold","database","structures applications high support index tutorial next decade dimensional","high-dimensional index structures , database support for next decade 's applications ( tutorial )","dblp_a_496","sigmod conference","1998"
"sungran cho , laks v. s. lakshmanan , divesh srivastava , sihem amer-yahia","system","secure querying xml lockx efficiently","lockx : a system for efficiently querying secure xml","dblp_a_497","sigmod conference","2003"
"marianne winslett","","dewitt speaks david","david dewitt speaks out","dblp_a_498","sigmod record","2002"
"richard frank , gopalan arun , richard anderson","","rdb oracle model record caching","oracle rdb 's record caching model","dblp_a_499","sigmod conference","1998"
"ramesh c. agarwal","","sort scalar super risc processors algorithm","a super scalar sort algorithm for risc processors","dblp_a_500","sigmod conference","1996"
"goetz graefe , richard l. cole","databases","universal fast quantification algorithms large","fast algorithms for universal quantification in large databases","dblp_a_501","acm trans . database syst .","1995"
"richard t. snodgrass","","chair message","chair 's message","dblp_a_502","sigmod record","1999"
"umeshwar dayal , gerhard weikum , rakesh agrawal , johannes klein , shalom tsur , serge abiteboul","","commerce revolution e next panel web services","are web services the next revolution in e-commerce ? ( panel )","dblp_a_503","vldb","2001"
"hongyan liu , hongjun lu","","tables capabilities rdbms classification decision scalable exploring","decision tables : scalable classification exploring rdbms capabilities","dblp_a_504","vldb","2000"
"jun rao , kenneth a. ross","","strategy queries reusing new invariants correlated","reusing invariants : a new strategy for correlated queries","dblp_a_505","sigmod conference","1998"
"munir cochinwala , francesco caruso , paolo missier , uma ganapathy , gail lalk","data database","tool quality telcordia analysis reconciliation","telcordia 's database reconciliation and data quality analysis tool","dblp_a_506","vldb","2000"
"kenneth a. ross , damianos chatziantoniou","","processing groupwise relational queries","groupwise processing of relational queries","dblp_a_507","vldb","1997"
"thorsten fiebig , till westmann , robert schiele , guido moerkotte , carl-christian kanne , julia neumann , sven helmer","system management","anatomy xml base native","anatomy of a native xml base management system","dblp_a_508","vldb j.","2002"
"henrique paques , wei tang , calton pu , wei han , ling liu , david buttler","data systems","query toolkit aqr adaptive distributed intensive routing middleware","aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems","dblp_a_509","sigmod conference","2000"
"stefan seltzsam , donald kossmann , markus keidl , reinhard braumandl , alexander kreutz , konrad stocker , alfons kemper","","processing objectglobe query internet ubiquitous","objectglobe : ubiquitous query processing on the internet","dblp_a_510","vldb j.","2001"
"gerard rodríguez-mulà , andreas paepcke , junghoo cho , hector garcia-molina","based","value technologies search beyond document browsing similarity understanding","beyond document similarity : understanding value-based search and browsing technologies","dblp_a_511","sigmod record","2000"
"jeanine weißenfels , dirk wodtke , angelika kotz dittrich , gerhard weikum , peter muth","management","workflow mentor wide enterprise workbench","the mentor workbench for enterprise-wide workflow management","dblp_a_512","sigmod conference","1997"
"luis gravano , anthony tomasic , hector garcia-molina","database","gloss effectiveness discovery text problem","the effectiveness of gloss for the text database discovery problem","dblp_a_513","sigmod conference","1994"
"david elliot shaw","","technology commerce future finance abstract","technology and the future of commerce and finance ( abstract )","dblp_a_514","vldb","1998"
"alon y. levy , daniela florescu , daphne koller","using information data","integration probabilistic","using probabilistic information in data integration","dblp_a_515","vldb","1997"
"surajit chaudhuri , ashish kumar gupta , vivek r. narasayya","","workloads sql compressing","compressing sql workloads","dblp_a_516","sigmod conference","2002"
"bernhard mitschang , tobias kraft , holger schwarz , ralf rantzau","","sql coarse grained statement sequences techniques rewriting optimization","coarse-grained optimization : techniques for rewriting sql statement sequences","dblp_a_517","vldb","2003"
"achim kraiss , gerhard weikum","based","markov hierarchies caching integrated chain prefetching storage document predictions","integrated document caching and prefetching in storage hierarchies based on markov-chain predictions","dblp_a_518","vldb j.","1998"
"ouri wolfson , s. a. m. makki , kia makki , charles e. perkins , birgitta könig-ries , peter l. reiher , niki pissinou , peter scheuermann , jari veijalainen","systems","wireless infrastructure report building mobile workshop nsf","report on the nsf workshop on building an infrastructure for mobile and wireless systems","dblp_a_519","sigmod record","2002"
"michael stonebraker","","panel right working problems","are we working on the right problems ? ( panel )","dblp_a_520","sigmod conference","1998"
"","information","endowment vldb committees sponsors foreword demonstrations ordering conference organizers reviewers preface additional program","ordering information , conference organizers , program committees , additional reviewers , additional demonstrations reviewers , sponsors , vldb endowment , preface , foreword","dblp_a_521","vldb","2000"
"wolfgang may , bertram ludäscher","using","semantics actions logic rules global understanding referential","understanding the global semantics of referential actions using logic rules","dblp_a_522","acm trans . database syst .","2002"
"gerhard weikum , patrick e. o'neil , peter muth , achim pick","data","structured lham log method history access","the lham log-structured history data access method","dblp_a_524","vldb j.","2000"
"randal j. peters , m. tamer özsu , boman irani , adriana muñoz , anna lipka , duane szafron","system management","behavioral objectbase tigukat uniform","tigukat : a uniform behavioral objectbase management system","dblp_a_525","vldb j.","1995"
"chung-sheng li , vittorio castelli , lawrence d. bergman , john r. smith , yuan-chi chang , ming-ling lo","","onion queries indexing linear technique optimization","the onion technique : indexing for linear optimization queries","dblp_a_526","sigmod conference","2000"
"rajeev rastogi , kyuseok shim , apostol natsev","databases","similarity algorithm image walrus retrieval","walrus : a similarity retrieval algorithm for image databases","dblp_a_527","sigmod conference","1999"
"jeffrey d. ullman","system database","teaching efficiency improving","improving the efficiency of database-system teaching","dblp_a_528","sigmod conference","2003"
"manfred a. jeusfeld , ling feng , jeroen hoppenbrouwers","based","libraries knowledge digital towards","towards knowledge-based digital libraries","dblp_a_529","sigmod record","2001"
"césar a. galindo-legaria","","disjunctions outerjoins","outerjoins as disjunctions","dblp_a_530","sigmod conference","1994"
"curtis e. dyreson","information data","cube incomplete retrieval","information retrieval from an incomplete data cube","dblp_a_531","vldb","1996"
"mohamed zaït , benoît dageville","management","memory sql","sql memory management in oracle9i","dblp_a_532","vldb","2002"
"per-åke larson , weiye zhang","","external read ahead mergesort strategies buffering","buffering and read-ahead strategies for external mergesort","dblp_a_533","vldb","1998"
"vivek r. narasayya , rajeev motwani , surajit chaudhuri","","much random construction enough sampling histogram","random sampling for histogram construction : how much is enough ?","dblp_a_534","sigmod conference","1998"
"dimitris papadias , timos k. sellis","","spatial qualitative representation space two knowledge dimensional","qualitative representation of spatial knowledge in two-dimensional space","dblp_a_535","vldb j.","1994"
"bertram ludäscher , maryann e. martone , amarnath gupta","","real birn mediator solving problems semantic neuroscience world","birn-m : a semantic mediator for solving real-world neuroscience problems","dblp_a_536","sigmod conference","2003"
"anindya datta , kaushik dutta , helen m. thomas , debra e. vandermeer , krithi ramamritham , dan fishman","","dynamic middle caching study content support acceleration solutions comparative web alternative tier","a comparative study of alternative middle tier caching solutions to support dynamic web content acceleration","dblp_a_537","vldb","2001"
"giuseppe psaila , stefano ceri , rosa meo","","like sql mining new association rules operator","a new sql-like operator for mining association rules","dblp_a_538","vldb","1996"
"c. mohan","","application associated technologies tutorial servers","tutorial : application servers and associated technologies","dblp_a_539","sigmod conference","2002"
"xiaoyang sean wang , duminda wijesekera , claudio bettini , sushil jajodia","management","applications security provisions policy obligations","provisions and obligations in policy management and security applications","dblp_a_540","vldb","2002"
"michael j. franklin , samuel madden , joseph m. hellerstein , mehul a. shah","system data systems","experiences telegraph support java building intensive dataflow","java support for data-intensive systems : experiences building the telegraph dataflow system","dblp_a_541","sigmod record","2001"
"guido moerkotte , jens claußen , klaus peithner , alfons kemper","databases","universal quantification queries object relational oriented optimizing","optimizing queries with universal quantification in object-oriented and object-relational databases","dblp_a_542","vldb","1997"
"chee yong chan , yannis e. ioannidis","","selection queries efficient bitmap encoding scheme","an efficient bitmap encoding scheme for selection queries","dblp_a_543","sigmod conference","1999"
"c. j. date , hugh darwen","","manifesto third","the third manifesto","dblp_a_544","sigmod record","1995"
"manish mehta , david j. dewitt","systems data database","parallel shared nothing placement","data placement in shared-nothing parallel database systems","dblp_a_545","vldb j.","1997"
"alexandros biliris , euthimios panagos","","manager object storage overview bess architecture","the bess object storage manager : architecture overview","dblp_a_546","sigmod record","1996"
"agathoniki trigoni , rajmohan rajaraman , alan j. demers , yong yao , johannes gehrke","","progress cougar report work project","the cougar project : a work-in-progress report","dblp_a_547","sigmod record","2003"
"bertram ludäscher , amarnath gupta , maryann e. martone","system information based","integration mediator model neuroscience","model-based information integration in a neuroscience mediator system","dblp_a_548","vldb","2000"
"sanjeev khanna , michael greenwald","","quantile efficient space online computation summaries","space-efficient online computation of quantile summaries","dblp_a_549","sigmod conference","2001"
"philippe pucheral , lilan wu , luc bouganim , françois dang ngoc","data","reconciling encryption secured rights chip access","chip-secured data access : reconciling access rights with data encryption","dblp_a_550","vldb","2003"
"vibha dayal , satish ramakrishnan","","pointcast network","the pointcast network","dblp_a_551","sigmod conference","1998"
"moira c. norrie","","integration cim approaches","integration approaches for cim","dblp_a_552","sigmod conference","1995"
"joseph m. hellerstein","data","toward independence network","toward network data independence","dblp_a_553","sigmod record","2003"
"david buttler , tong zhou , ling liu , paul benninghoff , wei han , calton pu , fenghua yu , wei tang , john biggs","","personalized toolkit update monitoring cq","cq : a personalized update monitoring toolkit","dblp_a_554","sigmod conference","1998"
"hans-jörg schek , michael stonebraker , jim gray , jeffrey d. ullman","","report lowell","the lowell report","dblp_a_555","sigmod conference","2003"
"samuel madden , joseph m. hellerstein","","distributing wireless networks queries low sensor power","distributing queries over low-power wireless sensor networks","dblp_a_556","sigmod conference","2002"
"yannis theodoridis , yannis manolopoulos , antonio corral , michael vassilakopoulos","databases","spatial closest pair queries","closest pair queries in spatial databases","dblp_a_557","sigmod conference","2000"
"lionel brunie , harald kosch","systems","query nothing control relational strategies processing shared complex","control strategies for complex relational query processing in shared nothing systems","dblp_a_558","sigmod record","1996"
"xi s. guo , jack g. conrad , peter jackson , monem meziou","using database","physical selection specific operational resources environment acquired actual collection domain massive logical","database selection using actual physical and acquired logical collection resources in a massive domain-specific operational environment","dblp_a_559","vldb","2002"
"philip a. bernstein , erhard rahm , jayant madhavan","","generic schema cupid matching","generic schema matching with cupid","dblp_a_560","vldb","2001"
"gerd g. hillebrand , peter buneman , susan b. davidson , dan suciu","data","unstructured language optimization query techniques","a query language and optimization techniques for unstructured data","dblp_a_561","sigmod conference","1996"
"william o'connell , thomas a. funkhouser , alexandros biliris , euthimios panagos","systems","storage visualization bess support interactive","bess : storage support for interactive visualization systems","dblp_a_562","sigmod conference","1996"
"leonidas fegaras , david maier","using","object effective calculus queries optimizing","optimizing object queries using an effective calculus","dblp_a_563","acm trans . database syst .","2000"
"andrew eisenberg , jim melton","","xquery early look","an early look at xquery","dblp_a_564","sigmod record","2002"
"césar a. galindo-legaria , martin l. kersten , arjan pellenkoft","based","join transformation enumeration complexity","the complexity of transformation-based join enumeration","dblp_a_565","vldb","1997"
"amarnath gupta , simone santini","","geometric brain analysis mediator gembase surface ensembles","gembase : a geometric mediator for brain analysis with surface ensembles","dblp_a_566","vldb","2002"
"susan b. davidson , limsoon wong , kyle hart , peter buneman , g. christian overton","system data","sources transformation biological","a data transformation system for biological data sources","dblp_a_567","vldb","1995"
"rajeev motwani , aristides gionis , piotr indyk","","high via hashing search dimensions similarity","similarity search in high dimensions via hashing","dblp_a_568","vldb","1999"
"zahir tari , stefano spaccapietra , john stokes","","schemata forms dependency normal object oriented constraints","object normal forms and dependency constraints for object-oriented schemata","dblp_a_569","acm trans . database syst .","1997"
"wang-pin hsiung , kunihiro taniguchi , yusuf akca , oliver po , wen-syan li , divyakant agrawal , k. selçuk candan","data database","ii scale applications center acceleration hosted large cacheportal web driven","cacheportal ii : acceleration of very large scale data center-hosted database-driven web applications","dblp_a_570","vldb","2003"
"jun-ki min , chin-wan chung , chang-won park","","function structurally recursive queries inlining technique structural xml","structural function inlining technique for structurally recursive xml queries","dblp_a_571","vldb","2002"
"jennifer widom , chris olston","data","replicated queries precision performance tradeoff offering aggregation","offering a precision-performance tradeoff for aggregation queries over replicated data","dblp_a_572","vldb","2000"
"subbu n. subramanian , srinivasa narayanan","system management","tavant side channel sell architecture","tavant system architecture for sell-side channel management","dblp_a_573","vldb","2001"
"michalis vazirgiannis , maria halkidi , yannis batistakis","","ii part checking methods validity clustering","clustering validity checking methods : part ii","dblp_a_574","sigmod record","2002"
"theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross","","influential papers reminiscences","reminiscences on influential papers","dblp_a_575","sigmod record","2002"
"tolga urhan , laura bright , vladimir zadorozhny , maria-esther vidal , louiqa raschid","","evaluation queries websources mediator efficient","efficient evaluation of queries in a mediator for websources","dblp_a_576","sigmod conference","2002"
"chen qun , andrew lim , kian win ong","data","summary structured graph index structural adaptive k","d ( k ) - index : an adaptive structural summary for graph-structured data","dblp_a_577","sigmod conference","2003"
"bettina kemme , ricardo jiménez-peris , marta patiño-martínez , gustavo alonso","data","replication quorums alternative","are quorums an alternative for data replication ?","dblp_a_578","acm trans . database syst .","2003"
"alex dekhtyar , robert ross , v. s. subrahmanian","databases","temporal algebra probabilistic","probabilistic temporal databases , i : algebra","dblp_a_579","acm trans . database syst .","2001"
"paul brown","","spirit implementing sql","implementing the spirit of sql-99","dblp_a_580","sigmod conference","1999"
"joseph m. hellerstein , michael stonebraker","","integration content business e","content integration for e-business","dblp_a_581","sigmod conference","2001"
"alexander s. szalay , donald r. slutz , ani thakar , jim gray , peter z. kunszt","","multi sky digital archives designing sloan mining survey astronomy terabyte","designing and mining multi-terabyte astronomy archives : the sloan digital sky survey","dblp_a_582","sigmod conference","2000"
"ramesh c. agarwal , mahesh v. joshi","","via mining needle classes two haystack rule classifying induction phase rare","mining needle in a haystack : classifying rare classes via two-phase rule induction","dblp_a_583","sigmod conference","2001"
"paul cereghini , carlos ordonez","using","em sql sqlem fast clustering algorithm","sqlem : fast clustering in sql using the em algorithm","dblp_a_584","sigmod conference","2000"
"ioana burcea , milenko petrovic , hans-arno jacobsen","system","semantic toronto publish subscribe topss","s-topss : semantic toronto publish/subscribe system","dblp_a_585","vldb","2003"
"frank leymann","","processes managing via workflow technology business","managing business processes via workflow technology","dblp_a_586","vldb","2001"
"bruce lo , tali roth , ron avnur , joseph m. hellerstein , chris olston , kirk wylie , bhaskaran raman , vijayshankar raman","","line control technology output navigation refinement continuous","control : continuous output and navigation technology with refinement on-line","dblp_a_587","sigmod conference","1998"
"yasushi kiyoki , takanari hayama , takashi kitagawa","system","metadatabase image mathematical search model semantic meaning","a metadatabase system for semantic image search by a mathematical model of meaning","dblp_a_588","sigmod record","1994"
"hui-i hsiao , inderpal narang","","transactional manager resource dlfm","dlfm : a transactional resource manager","dblp_a_589","sigmod conference","2000"
